figure_number,origin,id,title,caption,path,evidence
1,validated_source_figure,fig_tokenizer_tradeoff,Tokenizer efficiency–quality frontier,Development-only proxy bits per character versus intrinsic tokenization cost. Error bars show seed standard deviation; the star marks the frozen tokenizer.,visuals/source_q1/fig_tokenizer_tradeoff.png,development_only
2,validated_source_figure,fig_compute_pareto,Active-compute systems frontier,Measured GB10 training throughput versus total parameters for compute-matched dense and sparse architectures.,visuals/source_q1/fig_compute_pareto.png,development_only
3,validated_source_figure,fig_classical_id_floor,Classical dialect-identification floors,"Regional macro-F1 of fixed character n-gram classifiers across validation, IID, source-OOD, and external-transcript tracks.",visuals/source_q1/fig_classical_id_floor.png,prior_test_descriptive
4,validated_source_figure,fig_classical_norm_floor,Fair normalization floors and oracle disclosure,Macro chrF++ for source-blind copy/rewrite controls; the legacy gold-dialect rewrite is explicitly labeled as an oracle rather than a deployable comparator.,visuals/source_q1/fig_classical_norm_floor.png,prior_test_descriptive
5,validated_source_figure,fig_continuation_lr_stability,Continuation learning-rate stability,Validation BPC change from the mature-checkpoint LR pilot; the rejected warm restart is retained as a negative result.,visuals/source_q1/fig_continuation_lr_stability.png,development_only
6,validated_source_figure,fig_stage_s_retention_tradeoff,Normalization–retention trade-off,Validation macro chrF++ versus replay-NLL degradation during registered Stage-S schedule selection. The dashed line is the preregistered 5% guard.,visuals/source_q1/fig_stage_s_retention_tradeoff.png,development_only
7,validated_source_figure,fig_architecture,Boichitro-MoE architecture,"Source-blind task input, dense prefix, sparse decoder blocks, router curricula, auxiliary heads, and hybrid optimization.",visuals/source_q1/fig_architecture.png,development_only
8,validated_source_figure,fig_protocol_flow,Leakage-safe experimental protocol,Registered development sequence and immutable freeze boundary preceding one scripted locked evaluation.,visuals/source_q1/fig_protocol_flow.png,development_only
9,validated_source_figure,fig_training_curves,Foundation and continuation learning curves,Smoothed training loss and held-out BPC for the dense foundation and matched 200M-token continuations.,visuals/source_q1/fig_training_curves.png,development_only
10,validated_source_figure,fig_upcycling_recovery,Dense-to-MoE recovery pilot,Validation-only comparison of bank release and initialization strategies under a matched 20M-token budget.,visuals/source_q1/fig_upcycling_recovery.png,development_only
11,validated_source_figure,fig_switch_router_recovery,Switch-router failure and repair,Held-out BPC and expert-load variation for the disclosed collapsed run and two registered repair candidates.,visuals/source_q1/fig_switch_router_recovery.png,development_only
