evaluation_track,split,rows,task,track
bd_dialect_source_ood_clause,test_ood,4556,normalization,bd_dialect_source_ood_clause
bd_dialect_source_ood_lexical,test_ood,2473,normalization,bd_dialect_source_ood_lexical
external_group_iid,test,1908,normalization,external_group_iid
external_group_iid,train,16981,normalization,external_group_iid
external_group_iid,validation,1806,normalization,external_group_iid
external_group_iid_not_source_ood,test,300,normalization,external_group_iid_not_source_ood
external_group_iid_not_source_ood,train,2222,normalization,external_group_iid_not_source_ood
external_group_iid_not_source_ood,validation,298,normalization,external_group_iid_not_source_ood
local_group_iid,test,952,normalization,local_group_iid
local_group_iid,train,7775,normalization,local_group_iid
local_group_iid,validation,941,normalization,local_group_iid
none,train,3325,normalization,none
onubad_source_ood_sentence,test_ood,1950,normalization,onubad_source_ood_sentence
vashantor_published_iid,test,1873,normalization,vashantor_published_iid
vashantor_published_iid,train,9319,normalization,vashantor_published_iid
vashantor_published_iid,validation,1244,normalization,vashantor_published_iid
bangladial_merged_iid,test,4313,identification,bangladial_merged_iid
bangladial_merged_iid,train,32721,identification,bangladial_merged_iid
bangladial_merged_iid,validation,4263,identification,bangladial_merged_iid
bd_dialect_source_ood_clause,test_ood,3654,identification,bd_dialect_source_ood_clause
bd_dialect_source_ood_lexical,test_ood,896,identification,bd_dialect_source_ood_lexical
external_group_iid,test,3007,identification,external_group_iid
external_group_iid,train,25329,identification,external_group_iid
external_group_iid,validation,2823,identification,external_group_iid
external_group_iid_not_source_ood,test,97,identification,external_group_iid_not_source_ood
external_group_iid_not_source_ood,train,705,identification,external_group_iid_not_source_ood
external_group_iid_not_source_ood,validation,114,identification,external_group_iid_not_source_ood
hf_regional_asr_transcript_external,test_external,1151,identification,hf_regional_asr_transcript_external
hf_regional_asr_transcript_external,train,10138,identification,hf_regional_asr_transcript_external
local_group_iid,test,1685,identification,local_group_iid
local_group_iid,train,13703,identification,local_group_iid
local_group_iid,validation,1670,identification,local_group_iid
onubad_source_ood_sentence,test_ood,2253,identification,onubad_source_ood_sentence
vashantor_published_iid,test,2162,identification,vashantor_published_iid
vashantor_published_iid,train,10301,identification,vashantor_published_iid
vashantor_published_iid,validation,1368,identification,vashantor_published_iid
