path,bytes,sha256,purpose,top_level_keys,leaf_settings
configs/ablation_registry.yaml,829,12e34df4d9ce66996015171107ff7aae7155e56c82313ba66ff1e0326c0f907d,"Registers confirmatory, factorial, or optimization ablations.","core_factorial, confirmatory, optimization, test_access",26
configs/bidirectional_identification.yaml,1595,a6856e04fc6517a93acf6340925a5fed44be458fc36c77bb9b6624872c3ac4ce,Defines the MNTP/contrastive bidirectional identification specialist.,"protocol_id, source_protocol_id, source_variant, variant_id, seeds, mntp, identification, evaluation",57
configs/continuation_lr_pilot.yaml,955,1b80b8570dd1e32c719d070e12d0b8879b63d5cbf57a148c54667dc522596e65,Defines mature-checkpoint continuation learning-rate selection.,"protocol_id, base_config, seed, data_seed, token_budget, scheduler_token_budget, eval_every_tokens, checkpoint_every_tokens, warmup_fraction, final_relative_bpc_regression_max, intermediate_relative_bpc_regression_max, selection_metric, selection_mode, candidates, rejected_trigger_run, test_data_access",31
configs/continuation_m0_dense_200m.yaml,784,f9cd376e88bf04c4fcae81ff7a6213fafe9d794b1e3867bfcef48e3c9b7b6518,Defines the compute-matched dense continuation.,"run_id, seed, data_seed, architecture, initial_checkpoint, packed_data, token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, fixed_token_budget, test_data_access, optimizer",27
configs/continuation_m1_switch_200m.yaml,1021,a4c3b73a8f1c7c5440a1a3304c68af67af19a3e51a9fd0a68311799e2582e430,Defines the Switch top-1 continuation.,"run_id, seed, data_seed, architecture, initial_checkpoint, upcycle_noise_std, packed_data, token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, switch_router_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, test_data_access, optimizer",35
configs/continuation_m2_200m.yaml,1032,f0ed15bc998035619e130842694823cb6aa8f3641febdb4f3adf33057c3be957,Defines the shared-expert top-2 MoE continuation.,"run_id, seed, data_seed, architecture, initial_checkpoint, upcycle_noise_std, packed_data, token_budget, validation_token_cap, evaluate_at_start, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, optimizer_selection_report, upcycling_selection_report, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, test_data_access, optimizer",35
configs/continuation_smoke.yaml,784,1bd0d92bdaf6d01f61e0287f25e3d5f5ddb5a61420b2f3d1c62f6c4bb3256133,Supports a registered experiment or reproducibility control.,"run_id, seed, architecture, initial_checkpoint, upcycle_noise_std, packed_data, token_budget, validation_token_cap, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, model_overrides, fixed_token_budget, test_data_access, optimizer",30
configs/dataset_build.yaml,1703,130a2f5d8f34082f067ac916bcc535aacdd3f744121827ce0b6b1b40bf519cb0,"Controls dataset construction, filtering, taxonomy, and split generation.","dataset_version, build_date, taxonomy_version, seed, split, quality, deduplication, sampling, source_priority, normalization_training_sources, normalization_locked_ood_sources, romanized_locked_source, identification_sources, explicit_exclusions",36
configs/experiment_registry.yaml,18506,ff7aa35af6d45f991e568ad5d1c6dc3761de887bd17b206c94604eef96a44b40,"Central registry for model families, seeds, budgets, and evidence gates.","registry_version, study_id, created_on, status, objective, source_archives, local_data, data_manifests, dataset_release, preliminary_manifests, protocols, seed_sets, tokenizer, architecture, optimizer, training_stages, upcycling_recovery_pilot, model_runs, normalization_baselines, identification_baselines, pilot_factorial, confirmatory_ablations, pilot_only_ablations, loss_grid, decoding, metrics, statistics, selection, test_firewall, acceptance_gates, artifact_paths",392
configs/external_locked_evaluation.yaml,777,3215cc72ad106b380baf7c550d66570d7b157d2c9c682ec51e41e8fed65dca83,Defines the immutable locked evaluation contract.,"protocol_id, protocol_freeze_id, baseline_config, normalization, identification, test_policy",17
configs/external_model_baselines.yaml,1460,d0ff31ae28232cc2ab2e3e21cb8619f2a903e9403a50004358ed26da7c5fe9e6,Pins external sources or external model baselines.,"seeds, local_files_only, normalization, identification, precision, selection_uses_validation_only, test_access_during_training",45
configs/external_sources.yaml,5886,554121d8342401a5b73125cf1f05067d7709983c34f0b9a382864baf195c2572,Pins external sources or external model baselines.,"registry_version, frozen_on, taxonomy, mendeley, huggingface, huggingface_rejections, synthetic_policy",149
configs/foundation_300m.yaml,579,e9f59f03690749bdf7ba8d52e209d577afb290deca66c87c1ff234fb5e5ac5c6,Defines dense foundation training or its preflight checks.,"run_id, seed, packed_data, token_budget, validation_token_cap, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, optimizer, model_config, fixed_token_budget, test_data_access",22
configs/foundation_preflight.yaml,581,6cb25df8b5f13b26d5c932dee5befe7e84cef9a1364b2b85de13f6f49a5c8522,Defines dense foundation training or its preflight checks.,"run_id, seed, packed_data, token_budget, validation_token_cap, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, optimizer, model_config, fixed_token_budget, test_data_access",22
configs/foundation_smoke.yaml,579,e599a7560738952c33460082b603d47ca890ca203b9a2e8f157f712023efeb5a,Defines dense foundation training or its preflight checks.,"run_id, seed, architecture, packed_data, token_budget, validation_token_cap, micro_batch_size, gradient_accumulation_steps, global_token_batch, warmup_fraction, eval_every_tokens, checkpoint_every_tokens, log_every_optimizer_steps, resume_checkpoint_every_steps, model_config, fixed_token_budget, test_data_access, optimizer",23
configs/human_evaluation.yaml,1057,25682265a655a3f57800cc40db2d8154c23f5bb8c5fcbf886ad8937a98d6f0ac,Defines the blinded native-speaker evaluation protocol.,"protocol_id, prediction_protocol_id, external_prediction_protocol_id, seed, sampling_seed, examples_per_dialect, systems, raters, ratings_per_item, rating_dimensions, binary_dimensions, bootstrap_replicates, randomization_replicates, randomization_seed, test_policy",24
configs/inference_benchmark.yaml,445,2167309485caf26eb473828d7f6352a576c4a079264ab9a3ceb3326afe9bcead,Defines systems and inference benchmarking.,"protocol_id, task_protocol_id, seed, variants, normalization, identification, test_access",14
